key,name,type,stock,trend,slope ,period,probability,description,remark,tip
,,event,600320,ascend,1,3,1,收到大定单,,
,,event,all,ascend,,,1,降低利率,,
,,event,all,ascend,,,1,降低存款准备金率,,
,,event,manufacturing,ascend,0.5,6,1,降低人民币对美圆汇率,,
,,event,food,descend,2,12,1,查出三聚氰胺,,
,,event,600320,ascend,,,1,资产重组,,
,,event,600320,ascend,,,1,研制出新产品,,
,,event,600320,broken,,3,1,变成ST,,
,,event,600320,reorganization ,,3,1,变成ST,,
,,event,medicine,ascend,,,,国家人口红利逐渐消失，进入老龄社会,,
,,event,environment,ascend,,,,国家发布五年计划，强调保护环境,,
,,,,,,,,,,
,,research,revenue,ascend,1,3,0.8,该公司营收大幅增长，市场越来越大,增加营收20%，相应影响：净利润，货币资产，净资产，盈余公积，每股收益，每股净资产,
,,research,revenue,descend,0.5,6,1,该公司营收大幅减少，市场萎缩,减少营收20%，相应影响：净利润，货币资产，净资产，盈余公积，每股收益，每股净资产,
,,research,cost_management,ascend,1,3,0.8,该公司大刀阔斧改革，优化流程，管理成本大大减少,管理成本减少50%，相应影响：净利润，货币资产，净资产，盈余公积，每股收益，每股净资产,
,,research,cost_management,descend,0.5,6,1,该公司尾大不掉，臃肿不堪，管理成本大幅上升,管理成本增加50%，相应影响：净利润，货币资产，净资产，盈余公积，每股收益，每股净资产,
,,research,price_net,ascend,1,3,0.8,该公司股价市净率高,增加资本公积50%，相应影响固定资产，净资产，每股净资产,该公司资本雄厚，该股价反映了真实资本
,,research,price_earning,ascend,1,3,0.8,该公司股价市盈率高,"增加营收30%，减少成本30%,相应影响：净利润，货币资产，净资产，盈余公积，每股收益，每股净资产",
,,research,cashflow,ascend,1,3,0.8,该公司大笔举债，获得充足现金流好,增加现金流融资收入10%资产，相应影响：货币资产，长期债务,
,,research,cashflow,ascend,1,3,0.8,该公司开发新项目，再次在公开市场融资,增加现金流融资收入10%资产，相应影响：货币资产，股本,
,,research,cashflow,ascend,1,3,0.8,该公司投资新能源项目,增加现金流投资支出100%,
